icao,delivery,ground,tower,departure,approach,center
KANW,\N,\N,\N,\N,\N,DEN_CTR
KAOH,\N,\N,\N,\N,CMH_APP,IND_CTR
KAPA,\N,APA_GND,APA_TWR,\N,DEN_APP,DEN_CTR
KAPC,\N,\N,\N,\N,NCT_APP,OAK_CTR
KAPF,\N,APF_GND,APF_TWR,\N,RSW_APP,MIA_CTR
KAPG,\N,APG_GND,APG_TWR,\N,PCT_APP,DC_CTR
KAPH,\N,\N,\N,\N,PCT_APP,DC_CTR
KAPN,\N,APN_GND,APN_TWR,\N,APN_APP,MSP_CTR
KAPT,\N,\N,\N,\N,CHA_APP,\N
KAPV,\N,\N,\N,\N,EDW_APP,LAX_CTR
KARA,\N,ARA_GND,ARA_TWR,\N,LFT_APP,HOU_CTR
KARB,\N,\N,\N,\N,DTW_APP,\N
KARG,\N,\N,\N,\N,MEM_APP,MEM_CTR
KARM,\N,\N,\N,\N,I90_APP,HOU_CTR
KARR,\N,\N,\N,\N,\N,CHI_CTR
KARV,\N,\N,\N,\N,\N,MSP_CTR
KASE,\N,ASE_GND,ASE_TWR,\N,ASE_APP,DEN_CTR
KASG,\N,\N,\N,\N,LIT_APP,\N
KASH,\N,\N,\N,\N,ACK_APP,BOS_CTR
KASL,\N,\N,\N,\N,SHV_APP,\N
KASN,\N,\N,\N,\N,BHM_APP,ATL_CTR
KAST,\N,\N,\N,\N,SEA_APP,SEA_CTR
KASX,\N,\N,\N,\N,MSP_APP,\N
KATL,ATL_DEL,ATL_GND,ATL_TWR,\N,ATL_APP,ATL_CTR
KATS,\N,\N,\N,\N,ROW_APP,\N
KATW,\N,ATW_GND,ATW_TWR,\N,GRB_APP,MSP_CTR
KATY,\N,\N,\N,\N,\N,MSP_CTR
KAUG,\N,\N,\N,\N,PDX_APP,BOS_CTR
KAUM,\N,\N,\N,\N,RST_APP,\N
KAUN,\N,\N,\N,\N,NCT_APP,OAK_CTR
KAUO,\N,\N,\N,\N,ATL_APP,\N
KAUS,AUS_DEL,AUS_GND,AUS_TWR,\N,AUS_APP,HOU_CTR
KAUW,\N,\N,\N,\N,\N,MSP_CTR
KAVL,\N,AVL_GND,AVL_TWR,\N,AVL_APP,ATL_CTR
KAVO,\N,\N,\N,\N,\N,MIA_CTR
KAVP,\N,AVP_GND,AVP_TWR,\N,AVP_APP,NY_CTR
KAVQ,\N,\N,\N,\N,PHX_APP,ABQ_CTR
KAVX,\N,\N,\N,\N,BUR_APP,LAX_CTR
KAWM,\N,\N,\N,MEM_DEP,MEM_APP,MEM_CTR
KAXA,\N,\N,\N,\N,\N,MSP_CTR
KAXN,\N,\N,\N,\N,\N,MSP_CTR
KAXV,\N,\N,\N,\N,CMH_APP,\N
KAYS,\N,\N,\N,\N,JAX_APP,JAX_CTR
KAZO,AZO_DEL,AZO_GND,AZO_TWR,\N,AZO_APP,CHI_CTR
KBAB,\N,BAB_GND,BAB_TWR,NCT_DEP,SMF_APP,OAK_CTR
KBAD,\N,BAD_GND,BAD_TWR,\N,SHV_APP,FTW_CTR
KBAF,\N,BAF_GND,BAF_TWR,\N,BDL_APP,BOS_CTR
KBAK,\N,BAK_GND,BAK_TWR,IND_DEP,\N,IND_CTR
KBAM,\N,\N,\N,\N,\N,SLC_CTR
KBAZ,BAZ_DEL,BAZ_GND,BAZ_TWR,\N,SAT_APP,HOU_CTR
KBBB,\N,\N,\N,\N,\N,MSP_CTR
KBBD,\N,\N,\N,\N,\N,HOU_CTR
KBBG,\N,\N,\N,\N,LIT_APP,MEM_CTR
KBBW,\N,\N,\N,\N,\N,DEN_CTR
KBCB,\N,\N,\N,\N,ROA_APP,\N
KBCT,\N,BCT_GND,BCT_TWR,\N,PBI_APP,MIA_CTR
KBDG,\N,\N,\N,\N,\N,DEN_CTR
KBDH,\N,\N,\N,\N,\N,MSP_CTR
KBDL,BDL_DEL,BDL_GND,BDL_TWR,LGA_DEP,BDL_APP,BOS_CTR
KBDR,\N,BDR_GND,BDR_TWR,\N,JFK_APP,NY_CTR
KBDU,\N,\N,\N,\N,\N,DEN_CTR
KBED,BED_DEL,BED_GND,BED_TWR,\N,BOS_APP,BOS_CTR
KBEH,\N,\N,\N,\N,SBN_APP,CHI_CTR
KBFF,\N,\N,\N,\N,\N,DEN_CTR
KBFI,BFI_DEL,BFI_GND,BFI_TWR,\N,SEA_APP,SEA_CTR
KBFL,\N,BFL_GND,BFL_TWR,\N,BFL_APP,LAX_CTR
KBFM,\N,BFM_GND,BFM_TWR,\N,MOB_APP,HOU_CTR
KBFR,\N,\N,\N,\N,\N,IND_CTR
KBGD,\N,\N,\N,\N,AMA_APP,\N
KBGE,\N,\N,\N,\N,TLH_APP,\N
KBGM,BGM_DEL,BGM_GND,BGM_TWR,\N,BGM_APP,NY_CTR
KBGR,BGR_DEL,BGR_GND,BGR_TWR,\N,BGR_APP,BOS_CTR
KBHB,\N,\N,\N,\N,BGR_APP,BOS_CTR
KBHM,BHM_DEL,BHM_GND,BHM_TWR,\N,BHM_APP,ATL_CTR
KBIE,\N,\N,\N,\N,\N,MSP_CTR
KBIF,\N,BIF_GND,BIF_TWR,\N,ELP_APP,ABQ_CTR
KBIL,\N,BIL_GND,BIL_TWR,\N,BIL_APP,SLC_CTR
KBIS,\N,BIS_GND,BIS_TWR,\N,BIS_APP,MSP_CTR
KBIX,\N,BIX_GND,BIX_TWR,\N,GPT_APP,HOU_CTR
KBJC,\N,BJC_GND,BJC_TWR,\N,DEN_APP,DEN_CTR
KBJI,\N,\N,\N,\N,\N,MSP_CTR
KBJJ,\N,\N,\N,\N,CMH_APP,\N
KBKD,\N,\N,\N,\N,REG_APP,FTW_CTR
KBKE,\N,\N,\N,\N,\N,SLC_CTR
KBKF,\N,BKF_GND,BKF_TWR,\N,DEN_APP,DEN_CTR
KBKL,\N,BKL_GND,BKL_TWR,\N,CLE_APP,\N
KBKT,\N,\N,\N,\N,\N,DC_CTR
KBKX,\N,\N,\N,\N,\N,MSP_CTR
KBLF,\N,\N,\N,\N,\N,IND_CTR
KBLH,\N,\N,\N,\N,\N,LAX_CTR
KBLI,\N,BLI_GND,BLI_TWR,\N,CYYJ_APP,SEA_CTR
KBLM,\N,\N,\N,\N,WRI_APP,NY_CTR
KBLU,\N,\N,\N,\N,\N,OAK_CTR
KBLV,\N,\N,BLV_TWR,\N,\N,\N
KBMG,\N,BMG_GND,BMG_TWR,\N,HUF_APP,IND_CTR
KBMI,\N,\N,BMI_TWR,\N,\N,CHI_CTR
KBMT,\N,\N,\N,\N,I90_APP,HOU_CTR
KBNA,BNA_DEL,BNA_GND,BNA_TWR,\N,BNA_APP,MEM_CTR
KBNG,\N,\N,\N,\N,\N,LAX_CTR
KBNW,\N,\N,\N,\N,DSM_APP,\N
KBOI,BOI_DEL,BOI_GND,BOI_TWR,\N,BOI_APP,SLC_CTR
KBOS,BOS_DEL,BOS_GND,BOS_TWR,\N,BOS_APP,BOS_CTR
KBOW,\N,\N,\N,\N,TPA_APP,\N
KBPG,\N,\N,\N,\N,\N,FTW_CTR
KBPK,\N,\N,\N,\N,LIT_APP,MEM_CTR
KBPT,BPT_DEL,BPT_GND,BPT_TWR,\N,I90_APP,HOU_CTR
KBQK,\N,\N,\N,\N,JAX_APP,JAX_CTR
KBRD,\N,\N,\N,\N,\N,MSP_CTR
KBRL,\N,\N,\N,\N,\N,CHI_CTR
KBRO,\N,BRO_GND,BRO_TWR,\N,VLY_APP,HOU_CTR
KBRY,\N,\N,\N,\N,SDF_APP,\N
KBTF,\N,\N,\N,\N,SLC_APP,\N
KBTL,\N,BTL_GND,BTL_TWR,\N,AZO_APP,CHI_CTR
KBTM,\N,\N,\N,\N,\N,SLC_CTR
KBTN,\N,\N,\N,\N,\N,MSP_CTR
KBTP,\N,\N,\N,\N,PIT_APP,\N
KBTR,BTR_DEL,BTR_GND,BTR_TWR,\N,BTR_APP,HOU_CTR
KBTV,BTV_DEL,BTV_GND,BTV_TWR,\N,BTV_APP,BOS_CTR
KBUB,\N,\N,\N,\N,\N,DEN_CTR
KBUR,BUR_DEL,BUR_GND,BUR_TWR,\N,BUR_APP,LAX_CTR
KBVI,\N,BVI_GND,BVI_TWR,\N,PIT_APP,\N
KBVS,\N,\N,\N,\N,NUW_APP,SEA_CTR
KBVX,\N,\N,\N,\N,LIT_APP,MEM_CTR
KBVY,\N,BVY_GND,BVY_TWR,\N,BOS_APP,BOS_CTR
KBWC,\N,\N,\N,\N,\N,LAX_CTR
KBWD,\N,\N,\N,\N,\N,FTW_CTR
